Name,Scholar_ID,Title,Year
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,A Novel Way of Cost Estimation in Software Project Development Based on Clustering Techniques,2014,"Software cost estimation is the very basic step to start any project. It provides us the overview of effort, resources and time required for a project in terms of cost. Project successes mostly depend on Cost estimation as it gives the initial idea of the path, challenges and risk involved in the project. It is very difficult to match approximately the estimated with the actual cost. Efficient estimate can help us make more reliable decisions in planning the project risk. Cost estimation has become very important as it may lead to adverse results if the predicted estimates are wrong. In this model, we have proposed a value shrinking technique based on multilayer feed-forward neural network, and auto-associative clustering. The Kernel component analysis is log-linear regression functions calibrated with large data set with ordinary least squares. We have showed that Kernel component analysis can improve the estimation model accuracy by shrinking the input variables into an equivalent pattern and removing irrelevant variable, based on the COCOMOII data set. We have showed that the models obtained by applying Kernel component analysis are more persistent, acceptable and dependable."
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Investigation of poly (o-anisidine)-SnO2 nanocomposites for fabrication of low temperature operative liquefied petroleum gas sensor,2011,"Poly (o-anisidine)-tin oxide (POA-SnO 2) nanocomposites has been investigated for the fabrication of low temperature operative (100 C) liquefied petroleum gas (LPG) sensor. The POA-SnO 2 nanocomposites have been synthesized through an in situ chemical polymerization of o-anisidine in presence of SnO 2 nanoparticles. The POA-SnO 2 nanocomposite shows better LPG sensing properties than that of pure POA. The nanocomposite with 50 wt.% SnO 2 exhibits an excellent LPG sensing characteristics at the operating temperature of 100 C such as higher relative gas response (∼ 23.47% to 3.4% of LPG), extremely rapid response (∼ 6 s), fast recovery (∼ 33 s), good reproducibility, and remarkable selectivity. The application of POA-SnO 2 nanocomposites for fabrication of the LPG sensor was demonstrated."
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Predictive maintenance and real time monitoring using iot and cloud computing,2024,"Industrial Revolution 4.0 describes the rapid transformation that industry is going through due to Artificial Intelligence (AI), Machine Learning (ML) and IoT (Internet of Things). Industrial IoT (IIOT) combines traditional industrial processes with modern technology such as sensors, data analytics, and machine learning to optimize and automate processes. Like the Industrial Revolution, IIoT is transforming the way that goods are produced, but with some significant differences. IoT enables machines and devices to communicate with one another in real-time, providing valuable insights into the performance of industrial processes. This allows for predictive maintenance, where machines can be repaired or replaced before they fail, reducing downtime and maintenance costs. OEE (Overall Equipment Efficiency), an industry standard for gauging production efficiency, is raised with the use of predictive maintenance. By …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,A Hybrid Approach towards Improving Performance of Recommender System Using Matrix Factorization Techniques,2020,"In today's digital world of information overload, the recommendation system plays an important role in the decision making of an individual as well as the collective societal level at large scale. The recommendation system is useful for leveraging the power of available data to create a better user experience and incremental revenue for the E-commerce companies. As per statistics from McKinsey about recommendation system gives 35 percent incremental revenue for Amazon, around 75 percent video consumption and 1billion $ saving for Netflix due to recommendations and around 60 percent of views on YouTube come from the leverage of powerful recommendations. This research paper shows, how a hybrid approach is useful to improve the prediction accuracy of the recommender system by using various matrix factorization techniques and regression on given sample data. Using all rating information from a large number of users and movies build a recommendation system that recommends/suggest a movie to concern user."
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,System to capture WiFi based Drones using IoT,2022,"The Internet of Things (IoT) has emerged as one of the most vital technologies of the twenty-first century in recent years. IoT can be described as the common physical objects that are digitally connected. Things in IoT refers to all the physical objects like sensors that can be used to be embedded with software. A drone is a type of unmanned aerial vehicle. It does not have a human pilot on board, as the name implies. Because of its compact size and lightweight mechanism, it has a lot of potential to carry out tasks that will make our lives easier. Drones may be controlled via different mediums like wifi transmissions and radio frequency signals. In the case of radio frequency drones, the drones are typically controlled via a remote controller, although wifi equipped drones may also be controlled by devices with wifi access, such as smart phones. Due to the qualities of the drone, they have become popular for use in both …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Smart approach to crawl web interfaces using a two stage framework of crawler,2018,"In present scenario, internet is very important part of our life. User searches a query according to his requirement using internet. There are large numbers of web resources are present on internet as well as its nature is dynamic, so providing better result, relevant to searched query and personalizing the search are the challenging issues in information retrieval. To handle these challenges, we propose a two-stage framework of crawler. In first stage, Smart crawler performs “Reverse searching” that matches user query with the URL of link from site database. In second stage, crawler performs “Incremental prioritizing” that matches the query content with web document. Then according to match frequency crawler classifies relevant and irrelevant pages and rank this page. Proposed crawler performs searching through personalized searching which is based on profession profile of user for searching data in your work …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Energy efficiency in wireless sensor network using fuzzy rule and tree based routing protocol,2015,"As the wireless sensor network (WSN) is consider, it is the huge network of low-cost micro sensors deploy in the environment. The main challenge in the design of WSN is to improve the lifetime of the network. Various activities are done in the sensor node which consumes lots of energy due to which there is a need to save energy of node. The battery of the node is difficult to recharge in wireless scenarios, due to this problem the energy efficient routing is used to solve these problems. To achieve the aim, we need not only to minimize total energy consumption along with this balance therouting loading WSN. Researchers have proposed many protocols such as LEACH, HEED, PEGASIS, TBC and PEDAP. We are proposing a Fuzzy rule based General Self-Organized Tree-Based Energy-Balance routing protocol (FGSTEB) which is based on the GSTEB, in this work we builds a routing tree for data transmission by …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,A survey on energy efficient hierarchical routing protocol in wireless sensor network,2015,"As the wireless sensor network (WSN) is concerns, it is the huge network of low-cost micro sensors. The fundamental challenge in the design of WSN is to enhance the lifetime of the network. The power consumed due to various kind of data is transmitted from the node (s) to the sink ie BS which limits the network lifetime. The battery of the node is difficult to change, due to this problem the energy efficient routing is used to solve these problems. This paper outlines the advantages and objectives of Hierarchical clustering for WSNs. The comparison made between different hierarchical routing protocols and their behavior in the environment. Important factor to design protocols for WSN is the energy of nodes due to limited power availability. In this literature reviews we study hierarchical routing protocols which are used in wireless sensor networks."
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,High performance lossless multimedia data compression through improved dictionary,2010,"The advent of modern electronic world has opened up various fronts in multimedia interaction. They are used in various fields for various purposes of education, entertainment, research and many more. This has led to storage and retrieval of multimedia content regularly. But due to limitations of current technology the disk space and the transmission bandwidth fall behind in the race with the requirement of multimedia content. This imposes a need to compress multimedia content so that they can be easily stored requiring lesser space and easily transferred from one point to another. Some online dictionary based compression technique can be applied to reduce the data packet size. When the repetition rate of the same symbols within the data are high the compression techniques works very well. During the process of encoding and decoding, the building of online dictionary in the primary memory ensures the single pass over the data, and the dictionary need not to be transmitted over the network. Our proposed Improved Dictionary technique scans the data byte-wise, so that the chances of repetition of individual symbols are higher for text messages. Fixed length coding transmits fixed length codes for all dictionary entries. For bigger messages better optimization in terms of size reduction can be achieved through variable length coding with LZ technique, where transmitted code length corresponding to individual dictionary entries will vary according to the requirement dynamically."
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Automated penetration testing architecture using metasploit and OWASP ZAP for web applications,2024,"This research study introduces an innovative approach to fortify web application security through the utilization of automated penetration testing architecture. While leveraging the robust capabilities of Metasploit Framework and OWASP ZAP, this architecture will empower the organizations to proactively identify and mitigate vulnerabilities within their web applications. Metasploit Framework (a purposely vulnerable virtual machine) serves as a controlled environment for simulating the real-world cyberattacks. Its diverse range of vulnerabilities that spans from common misconfigurations to complex exploits will provide an ideal platform for assessing the resilience of the web applications. OWASP ZAP (a leading open-source security tool) complements this framework with its comprehensive suite of scanning and testing functionalities. By automating the process of vulnerability detection and analysis, OWASP ZAP …"
