FacultyID,Name,Designation,WebsiteExpertise,ScholarExpertise,FinalExpertise
F001,Mr. Piyush Shaha,Assistant Professor,,,
F002,Dr. Rohit Kumar Sharma,Associate Professor,,,
F003,Ms. Shubhi Trivedi,Assistant Professor,,,
F004,Dr. Shubhangi Vitthal Gaikwad,Assistant Professor,"Marketing, Advertising, HR, General Management related Subjects",,"Marketing, Advertising, HR, General Management related Subjects"
F005,Dr. Kishor Rambhau Kolhe,Associate Professor,"Network and Security, Software Engineering, Internet of Things, Blockchain Technology.",,"Network and Security, Software Engineering, Internet of Things, Blockchain Technology."
F006,Dr. Aarti Renukadas Shastri,Assistant Professor,Natural Products,,Natural Products
F007,Dr. Vishnu Prabhakar Choudhari,Professor,,,
F008,Dr. Shivangi Jaiswal,Assistant Professor,,,
F009,Dr. Chandrashekhar Himmatrao Patil,Associate Professor,,,
F010,Dr. Shilpa Samir Chapadgaonkar,,"Dr. Shilpa S. Chapadgaonkar is working in the field of new drug discovery and bioprocess development for high value biopharmaceuticals and biosimilars. She is engaged in the development of bioremediation technology for tackling the plastic waste, de-inking and resuse of paper and pulp, for valorization of agricultural wastes, novel enzyme formulations for industrial applications.",,"Dr. Shilpa S. Chapadgaonkar is working in the field of new drug discovery and bioprocess development for high value biopharmaceuticals and biosimilars. She is engaged in the development of bioremediation technology for tackling the plastic waste, de-inking and resuse of paper and pulp, for valorization of agricultural wastes, novel enzyme formulations for industrial applications."
F011,Dr. Pooja Pravin Gundewar,Associate Professor,"Computer Vision, Digital Image Processing, Transducer and Signal Conditioning, Robotics and Automation, Mechatronics",,"Computer Vision, Digital Image Processing, Transducer and Signal Conditioning, Robotics and Automation, Mechatronics"
F012,Dr. Rahul Verma,Assistant Professor,"Classical Sociological Theories, Sociology of Religion, Social Networks, Sociology of Industry",,"Classical Sociological Theories, Sociology of Religion, Social Networks, Sociology of Industry"
F013,Mr. Heramb Chintamani Phadake,Assistant Professor,"Air conditioning, Energy optimization https://scholar.google.com/citations?user=mFxti-YAAAAJ&hl=en",,"Air conditioning, Energy optimization https://scholar.google.com/citations?user=mFxti-YAAAAJ&hl=en"
F014,Mrs. Asha Rajendra Sanap,,,,
F015,Mrs. Mayuri Dabhi,Assistant Professor,,,
