FacultyID,Name,ScholarName
F001,Mr. Piyush Shaha,
F002,Dr. Rohit Kumar Sharma,
F003,Ms. Shubhi Trivedi,
F004,Dr. Shubhangi Vitthal Gaikwad,
F005,Dr. Kishor Rambhau Kolhe,
F006,Dr. Aarti Renukadas Shastri,
F007,Dr. Vishnu Prabhakar Choudhari,
F008,Dr. Shivangi Jaiswal,
F009,Dr. Chandrashekhar Himmatrao Patil,
F010,Dr. Shilpa Samir Chapadgaonkar,
F011,Dr. Pooja Pravin Gundewar,
F012,Dr. Rahul Verma,
F013,Mr. Heramb Chintamani Phadake,
F014,Mrs. Asha Rajendra Sanap,
F015,Mrs. Mayuri Dabhi,
F016,Dr. Neha Bokey,
F017,Dr. Manasi Gokhale,
F018,Dr. Deepak Kumar,
F019,Dr. Shamim Mohammad,
F020,Dr. Santosh Aghav,
F021,Mr. Mandar Bapat,
F022,Dr. Vinayak Sudhakar Wadgaonkar,
F023,Dr. Rupali Ram Sonolikar,
F024,Dr. Puskaraj Devidas Sonawwanay,
F025,Dr. Meenal Kaustubh Pendse,
F026,Dr. Deependra Sharma,
F027,Mr. Kundan Ramesh Nagare,
F028,Dr. Nitin Namdeo Pise,
F029,Dr. Pournima Nilesh Inamdar,
F030,Ms. Renuka Deshpande,
F031,Dr. Meenakshi Shankar Iyer,
F032,Mr. Akshay Ugale,
F033,Ms. Ruchika Khetarpal,
F034,Dr. Mandar Sapre,
F035,Dr. Kiran Kisan Kokate,
F036,Dr. Chandrashekhar Digambarrao Bobade,
F037,Dr. Mukesh Kumar Pal,
F038,Mr. Akshat Bhargava,
F039,Mr. Parimal Maya Sudhakar,
F040,Dr. Manisha Ravikumar Kowdiki,
F041,Ms. Amruta Pradeep Dixit,
F042,Dr. Sudeepta Banerjee,
F043,Dr. Ashwini Bagkar,
F044,Dr. Namrata Sathe,
F045,Dr. Mukul Sacchit Godbole,
F046,Ms. Pranati Prabhakar Waghodekar,
F047,Ms. Vaishnavi Andhare,
F048,Ms. Garima Chaudhary,
F049,Dr. Mangesh Vilas Bedekar,
F050,Dr. Purna Kumari,
F051,Dr. Deepak Popat Hujare,
F052,Dr. Shweta Yogesh Kukade,
F053,Dr. Ketaki Hanamant Kulkarni,
F054,Dr. Mithila Arvind Biniwale,
F055,Mr. Maisam Ali,
F056,Dr. Mohit Kant Kaushik,
F057,Mrs. Gauri Rahul Dhongade,
F058,Mr. Pralhad Atmaram Pesode,
F059,Dr. Priyanka Kumari,
F060,Dr. Nithya N Kutty,
F061,Dr. Sumitra Narayan Motade,
F062,Dr. Vinayak Prabhakar Musale,
F063,Dr. Shweta Devendra Shirolkar,
F064,Dr. Anuja Amlesh Askhedkar,
F065,Mrs. Diksha Dinar Bedekar,
F066,Mrs. Vandana Swapnil Jagtap,
F067,Dr. Sachin Prakash Srivastava,
F068,Dr. Shivani Gupta,
F069,Dr. Tanya Kumar,
F070,Dr. Sagar Kanekar,
F071,Ms. Kamakshi Goyal,
F072,Dr. Prashant Joshi,
F073,Dr. Shalaka Patil,
F074,Mrs. Anagha Sudhir Karne,Anagha Sudhir Karne
F075,Dr. Dnyaneshwar Ramchandra Waghole,
F076,Dr. Jivan Pandharinath Biradar,
