Name,Profile_URL,Designation,Bio,Research_Areas,Publications,Google_Scholar,ORCID,Scopus
Mr. Piyush Shaha,https://mitwpu.edu.in/faculty/piyush-shaha,Assistant Professor,"Mr. Piyush Shaha is an accomplished academician with extensive experience in the fields of Statistics, Operations Management, and Business Administration. He holds multiple postgraduate degrees, including an M.Sc. in Statistics, M.B.A. in Operations, and M.Com. in Business Administration, along with a B.Sc. in Statistics. He has also qualified the SET (State Eligibility Test) in Mathematical Sciences and is currently pursuing a Ph.D. in Statistics. Mr. Shaha has been serving as an Assistant Professor at MIT-WPU since January 2024. Prior to this, he held key academic positions at several reputed institutions, including NMIMS University, St. John College of Humanities and Science, The New College – Kolhapur, and others. His teaching career spans over 15 years, covering diverse roles such as full-time faculty, visiting professor, academic coordinator, and secondary school mathematics teacher. He began his academic journey as a Visiting Professor (CHB) in 2005, and since then, has consistently contributed to higher education through teaching, academic administration, and assessment roles. Mr. Shaha has served as an invigilator, moderator, and paper setter across various reputed institutions affiliated to Shivaji University, Mumbai University, Bharati Vidyapeeth, Tilak Maharashtra Vidyapeeth, Mahatma Phule Krishi Vidyapeeth, and YCMOU. With a strong academic foundation and versatile teaching portfolio, Mr. Piyush Shaha is deeply committed to student success, academic excellence, and continuous learning in the domain of statistics and business education.",,,,,
Dr. Rohit Kumar Sharma,https://mitwpu.edu.in/faculty/rohit-kumar-sharma,Associate Professor,"Dr. Rohit Kumar Sharma is currently working as Associate Professor at School of Business, Dr. Vishwanath Karad MIT World Peace University. Previously he was associated with Centre for Management Studies Dibrugarh University, The Assam Kaziranga University, Amity University Mumbai campus, Adamas University, Kolkata and Christ University Pune Lavasa campus. He has a total of 17 years of teaching and academic administration experience. He has completed his master’s in finance and Ph.D. from Dibrugarh University.",,,,,He has published 1 book and published many research papers including Scopus indexed research papers and have keen interest in academic administration. He has also headed the Planning and Monitoring Department at Adamas University as Director. His research interest is in the area of Behavioural Finance.
Ms. Shubhi Trivedi,https://mitwpu.edu.in/faculty/shubhi-trivedi,Assistant Professor,"Ms. Shubhi Trivedi is currently pursuing her Ph.D. from Gujarat National Law University, Gandhinagar. She completed her LL.M. in IPR laws from National Law University Jodhpur.She holds the Proud Achiever Award for the Batch of B.A. LL.B. (Hons.) at Law College Dehradun, Uttaranchal University. Her area of interests includes intellectual property rights law, general principles of contract, constitutional law, law of torts, family law to name a few. Prof. Trivedi has published papers in various areas of law pertaining to protection of sports moves through intellectual property rights, patents and ethics, artificial intelligence copyright and patents and the arbitration and consolidation and others. Apart from academics she also has interest in debating, writing, mooting and dramatics. She has presented several papers in conferences of repute.",,,,,
Dr. Shubhangi Vitthal Gaikwad,https://mitwpu.edu.in/faculty/shubhangi-vitthal-gaikwad,Assistant Professor,"Dr. Shubhangi V. Gaikwad is presently working as Assistant Professor, at the School of Economics & Commerce, Dr. Vishwanath Karad MIT World Peace University, Pune, Bharat from the past 17 years. She has worked as Head, Department of Commerce Course at MAEER’s Arts, Commerce & Science College, Pune, for more than 12 years. She was also the Programme Head, of B.Com. E-­commerce, MIT WPU, Pune. She has been recognized as a Post- graduate Teacher in the Subject “Marketing” from SPPU Pune. She has presented many Research Papers at the Local, National and International Level Seminars and Conferences. She has got more than 15 Text Books and 4 Reference Books on Marketing Management and Commerce based Subjects to her Credit. She has written a number of articles for different Magazines as well. She has also delivered many Guest Lectures on different topics at different Institutes and Colleges. She has been awarded with the ‘Best Teacher Award’ of MAEER’s MACS College, Pune for her outstanding contribution and achievements in the field of Commerce & Management.","Marketing, Advertising, HR, General Management related Subjects","Presented the following papers at the International Conference on Innovation in Business, Trade and Commerce organised by MIT WPU School of Commerce,11-12th of March 2022: - (as a co-author) 1. “A Study of Meta Facebook Business Ads its Use and Impact on the Business Goals of Select Agro Food Processing Industries in Pune City”. 2.“A STUDY OF RETAIL MANAGEMENT OF D-MART IN PUNE CITY”. 3. “A Study of Customer Relationship Management (CRM) Its Significance and Impact on the Marketing Firms in Pune City”. 4. Changing Attitude Towards Digital Payment System: A Study of Women Community. 5. Comparative Analysis Of Annual Reporta Of Financial Literacy And Inclusion In India: With Regards To Women In India. 6. Received Best Research Paper Award ( Co-author with Ph.D. Scholar) for the paper titled A Systematic Literature Review: Digital Marketing and its Impact on SMEs in India in the International Conference on Innovations in Business, Trade and Commerce organized by MIT WPU School of Commerce,11-12 March 2022. Blog Publication Published Two Blogs on 1.“Omni-channel as a Unified Customer Experience - Post-covid Era of Retail Marketing Sector”. 2.“Future of Retail Marketing in the Developing Nation like India”. Book Publication Details I : Reference Books: 1. Published Reference Book on “Skill Development Programmes for the Unemployed Youth by Bank of Maharashtra for Pune City” (single authored). 2. Published Reference Book on “Impact of Information Technology on Business to Business Relationships” (single authored). 3. Published Reference Book on “Emerging Trends in Business, Trade and Commerce"", Paramount Publishing House, New Delhi. 4. Published 5 Chapter’s in the Edited Book on “Emerging Trends in Business, Trade and Commerce”, Paramount Publishing House, New Delhi. Other's 2. DIGITAL TRANSFORMATION CHALLENGES IN AGRO SME’S IN PUNE DISTRICT, INDIA - Published in Vol. 28, No: 1(iii), June 2023 Madhya Pradesh Journal of Social Sciences (ISSN: 0973-855X) UGC-CARE List Group I Impact Factor: 5.3. 3. Presented the following Research Papers at the 2nd International Conference on Innovations in Business, Trade and Commerce, organized by MIT-WPU School of Economics and Commerce. 4. ""Impact of Farmer's Law on Indian Economy - A Study of Agro - Marketing in India”. 5. ""Impact of Demographic Factors on FMCG Products in Pune City"". 6. ""A Study of Emerging Innovations and Trends in Digital Marketing"". 7. ""The Impact of Social Media Marketing on Consumer Behaviour"". 8. Participated in the Research Based Completion organized by MIT WPU, and presented the Research Project on “HACK MIT-WPU 2023 on ""Neomer Bank"". 9. “A STUDY OF SKILL DEVELOPMENT PROGRAMMES FOR THE UNEMPLOYED YOUTH BY BANK OF MAHARASHTRA FOR PUNE CITY”, GRADIVA REVIEW – JOURNAL, UGC – CARE Approved Group II Journal, Volume 7, Issue 8, August 2021. 10. “Gandhian Thought and Peace Building”, Gurukul International Multidisciplinary Research Journal, UGC Listed Journal, Sr. No. 48455.",,,"1.Paper published in Journal of Indian Business Research (JIBR), Emerald Publishing (Listed in SCOPUS and ABDC), titled “JIBR-05-2022-0129.R2 - A Systematic Literature Review: Digital Marketing and its Impact on SMEs”."
Dr. Kishor Rambhau Kolhe,https://mitwpu.edu.in/faculty/kishor-rambhau-kolhe,Associate Professor,"Dr. Kishor R. Kolhe completed his PhD from Shri JJT University, Jhunjhunu (Rajasthan), India in 2013, M. Tech. in Information Technology from Bharati Vidyapeeth Deemed University, Pune [M.S.] in 2010, and B.E (Hons) Electronics Engineering from S.G.G.S. Institute of Engineering & Technology, Nanded [M.S.] in 1996. He has over 15 years of teaching and 11 years of industry experience, and currently works as an Associate Professor in the School of Computer Engineering and Technology at Dr. Vishwanath Karad MIT World Peace University, Pune, India. His areas of interest include Network and Security, Software Engineering, Internet of Things, and Blockchain Technology. He has published over 65 research papers in reputed journals and conferences and has guided more than 56 undergraduate students and 17 postgraduate students. He is currently guiding two Ph.D. research scholars. Dr. Kolhe has held various positions including Head of the I.T. Department, System In-charge of Center for Professional Courses, and member of various committees. He has reviewed research papers in national and international conferences and journals and is a life member of CSI, ISTE, and Life Fellow member of IETE. He has organized several conferences, workshops, seminars, Graduation Ceremony programs, and short-term training programs, and has been invited as a session chair at national and international conferences. Dr. Kolhe has participated in various innovative workshops on Education and Training.","Network and Security, Software Engineering, Internet of Things, Blockchain Technology.","2) Balaso Jagdale, Shounak Sugave, Kishor Kolhe, “Design and Analysis of Fabrication Threat Management in Peer-to-Peer Collaborative Location Privacy”, International Journal of Computer Science and Network Security (IJCSNS), ISSN: 1738-7906, Volume 21 Issue 12, pp. 399-408, December 2021. URL: http://paper.ijcsns.org/07_book/202112/20211255 [Indexing: ESCI (WoS), Q2] 3) R.G. Pawar, Dr. S. U. Ghumbre, Dr. R. R. Deshmukh, Dr. K. R. Kolhe, “A Hybrid Approach towards Improving Performance of Recommender System Using Matrix Factorization Techniques”, International Journal of Future Generation Communication and Networking (IJFGCN), ISSN: 2233-7857, Volume 13, Issue 4, pp. 467–477, September 2020. URL: http://www.sersc.org/journals/index.php/IJFGCN/article/view/32030 [ Indexing: ESCI (WoS), Q4] 4) Priyanka R. Balage, Dr. Kishor R. Kolhe, “Generation of E-Certificates using Custom Blockchain for Peer to Peer Network”, International Journal of Future Generation Communication and Networking (IJFGCN), ISSN: 2233-7857, Volume 13, Issue 3s, pp. 1677–1684, July 2020. URL: http://www.sersc.org/journals/index.php/IJFGCN/article/view/29408 [ Indexing: ESCI (WoS), Q4] Research Grants 1) Completed Consultancy and Development of prototype model for Production Monitoring System using IoT and Industry 4.0 standards for Improsys Technologies, Akurdi Pune – 411035. (Project duration 06.06.2019 to 31.08.2019). 2) Completed Corporate Technology Training for Sales Force of Redington India Ltd. Funding Agency: Redington India Ltd. Total Amount: Rs. 100000/- Duration: on 06.12.2019, 14.12.2019 and 15.12.2019 3) Ongoing Consultancy To provide Solution to OEE (Overall Equipment Effectiveness) improvement for Manufacturing industries. Funding Agency: Improsys Technologies, Akurdi, Pune – 411035 Total Grant: Rs. 1,00,000/- Duration of Project: Started from 31st May 2022",Google Scholar link : https://scholar.google.com/citations?view_op=list_works&hl=en&user=qhOPZi4AAAAJ,ORCID link :https://orcid.org/0000-0003-0205-4814,Scopus link :https://www.scopus.com/authid/detail.uri?authorId=6507998695
Dr. Aarti Renukadas Shastri,https://mitwpu.edu.in/faculty/aarti-renukadas-shastri,Assistant Professor,"Dr. Aarti Shastri is an Assistant Professor in the field of Pharmacognosy and Phytochemistry, specializing in the extraction, isolation and separation of chemical constituents from herbal drugs. She has a PhD in the same field and has extensive experience in pharmacological and phytochemical evaluation of herbal drugs/formulations for new therapeutic indications. Her research work is focused on natural products and their therapeutic uses. Dr. Shastri has published several research papers and articles in national and international journals and has presented her work at various conferences and seminars. Her expertise in natural products has been recognized by her peers and she is often invited as a speaker at conferences and workshops. As an academic, Dr. Shastri is passionate about teaching and mentoring students. She uses her research work to enrich her teaching and provide real-world examples to students. Her enthusiasm and dedication have earned her the respect and admiration of her students and colleagues.",Natural Products,"1. “A Systematic review on Edible Vaccines”, Research Journal of Biotechnology, Vol. 18(1) Jan 2023 2. Method of Isolation and Extraction of Anthocyanin’s from Hibiscus sabdariffa L. Litrature Review, Journal of Pharmaceutical Research International, 33(50B): 267-273, 2021, ISSN:2456-9119 3. A review on personalized therapies”, Journal of Pharmaceutical Research International, 33(39B): 115-127, 2021 ISSN:2456-9119 4. Design and evaluation of Flurbiprofen Micro-emulsion based gel, International Journal of research in Pharmaceutical sciences, 2020, 11(4), 7293-7300 ISSN: 0975-7538 https://scholar.google.co.in/citations?user=6FChCEoAAAAJ&hl=en",Google Scholar ID:,https://orcid.org/0000-0001-9639-5323,
Dr. Vishnu Prabhakar Choudhari,https://mitwpu.edu.in/faculty/vishnu-prabhakar-choudhari,Professor,"Dr. Vishnu Choudhari obtained his B.Pharm and M.Pharm degrees in Pharmacy from Savitribai Phule Pune University (SPPU) in 1990 and 1992, respectively. He earned his Ph.D. in Pharmaceutical Chemistry from Dr. BAMU, Aurangabad in 2011. He is currently serving as the Associate Professor and Head of the Pharmaceutical Chemistry department at the School of Pharmacy (formerly Maharashtra Institute of Pharmacy), Pune. With eight years of industry experience in formulation R&D, quality assurance, and formulation sections, he also manages the Postgraduate Diploma in Regulatory Affairs (PGDRA) weekend program.",,,,,
Dr. Shivangi Jaiswal,https://mitwpu.edu.in/faculty/shivangi-jaiswal,Assistant Professor,"Dr. Shivangi Jaiswal is an emerging academic and marketing professional with experience in digital marketing, consumer behaviour studies, and sustainability-focused communication. She completed her PhD from DEI, Agra. She has contributed to various academic activities, including capstone project evaluations, classroom engagement, and panel. She has also conducted workshops and MDPs in different industries on topics like digital transformation and customer centricity. She also integrates creative expression with well-being. Her academic interests include Consumer Behaviour, Digital Marketing, Brand Communication, Marketing Management, and Sustainable Marketing. She remains engaged in academic and research work, as well as in the coordination and development of learning resources that bridge industry trends with classroom learning. Educational Qualifications: Ph.D. in ABM – Dayalbagh Educational Institute, Agra, India M.Phil. in ABM – Dayalbagh Educational Institute, Agra, India M.Com in International Business- Dayalbagh Educational Institute, Agra, India Areas of Expertise: Marketing, Sustainable Development, Green Marketing, Digital Marketing, and Performance Marketing. Teaching Experience: 3 years Publications and Research Work: 1. India’s Roadmap Towards Sustainability Using Eco-Friendly Resources, in SIPN Journal in March 2020 (UGC CARE listed). 2. An empirical analysis of green marketing in FMGC industry: A narrative literature review in the book Greenwashing and Climate Change. 3. Achieving SDGs through the inclusion of Mobile Financial Services: A case study with reference to Agricultural sector in Agra District in National Conference on Sustainable Development Goals International Journal of Humanities, Law and Social Sciences UGC CARE Approved, Group I, Peer Reviewed, and Referred Journal by New Archaeological & Genealogical Society Kanpur India. 4. Sustainable Opportunities for Higher Education: An Overview of RGNF Scheme for SC in India in the book 'Emerging Trends in Education for Sustainable Future’. Awards and Recognitions: 1. ICSSR fellowship for 2 years 2. Gold medallist in M.Phil. 3. Executive Program in Digital Marketing, IIM Indore. 4. Certified Trainer in Capstone Project by CESIM. Subjects Taught: Branding Management, Branding Strategies, Global Marketing and Branding, and Marketing and Branding. Linked In https:// www.linkedin.com/in/shivangi-jaiswal12",,,,https://orcid.org/0009-0009-8560-3372,
Dr. Chandrashekhar Himmatrao Patil,https://mitwpu.edu.in/faculty/chandrashekhar-himmatrao-patil,Associate Professor,"Dr. C. H. Patil received his MCA (Computer Science) in 2006 from University of Pune, Pune and Ph.D.in 2016 from Bharati Vidyapeeth Deemed University, Pune. He has 15 years of experience teaching to MCA, M.Sc.(CS) students. He is an Associate Professor and Head of School of Computer Science at Dr. Vishwanath Karad MIT World Peace University, Pune. His fields of research interest include Digital Document Processing, Optical Character Recognition, Biometrics, Word spotting, Video Document Analysis, Signal processing etc. He has published 29 research papers in various international journals and conference proceedings. He has completed one minor research project funded by University of Pune, Pune. He has successfully completed one Orientation and one Refresher training programme . He has delivered four lectures in various conferences and workshops. He has attended many conferences, workshops and seminars. He has served as organizing secretary for two national conferences and one workshop. He has one patent and one book published. Currently three research scholars are doing Ph.D. studies under him in the field of Image Processing.",,,,,
Dr. Shilpa Samir Chapadgaonkar,https://mitwpu.edu.in/faculty/shilpa-samir-chapadgaonkar,,"Dr. Shilpa S. Chapadgaonkar is an experienced academician and researcher with expertise in upstream processing, bioseparation, and enzyme technology. With over 15 years of teaching experience at UG, PG, and PhD levels, she has guided four PhD candidates to completion and is currently supervising three more, along with several M.Sc. and M.Tech. projects. She is leading the Department of Biosciences and Technology at MITWPU as Program Director. She has held key roles such as MSc (Biotech) Program Coordinator, Research Cluster Head, and PhD Program Coordinator, contributing significantly to NAAC and UGC audits. Her research focuses on drug discovery, bioprocess development for biopharmaceuticals, and investigating genetic disorders like infertility and autism. Passionate about sustainability, she has developed technologies for waste valorization, enzyme formulations, and textile wastewater treatment. Dr. Chapadgaonkar’s work has been supported by grants from the Science and Engineering Research Board (SERB), and she has led industrial collaborations with global companies like BASF and Gennova Biopharmaceuticals. She has published over 40 papers in high-impact journals and authored two textbooks adopted by universities worldwide. Qualification: B.Pharm, M.Sc. Tech (ICT Mumbai), Ph.D. IIT Delhi Experience: 16Y Research: Enzyme Technology, Bioprocess Technology, Subjects Taught Bioprocess Technology, Downstream Processing, Animal Biotechnology, Drug Design, Pharmaceutical Technology, Food Microbiology","Dr. Shilpa S. Chapadgaonkar is working in the field of new drug discovery and bioprocess development for high value biopharmaceuticals and biosimilars. She is engaged in the development of bioremediation technology for tackling the plastic waste, de-inking and resuse of paper and pulp, for valorization of agricultural wastes, novel enzyme formulations for industrial applications.","Kaushik, Sonia; Rameshwari, Rashmi; Chapadgaonkar, Shilpa S; Enzyme engineering of choline oxidase for improving stability, Journal of Biomolecular Structure and Dynamics Jan-13 2024 Taylor & Francis Girisha Malhotra and Dr. Shilpa S Chapadgaonkar, Production of thermo-alkali-stable xylanase from Bacillus licheniformis isolated from natural hot water geyser, J Microsc Ultrastruct 2021;9:131-5. Rameshwari, Rashmi & Chapadgaonkar, Shilpa & Prasad, T. A Robust Algorithm for Visualization of Protein Interaction Network. Iranian Journal of Science and Technology, Transactions A: Science. 2019, 43 (4): 1411-1416 G. Malhotra and S. S. Chapadgaonkar, “Production and applications of xylanases – An overview,” Biotechnologia, vol. 99, no. 1, 2018, doi: 10.5114/bta.2018.73562. Abhinob Baruah, Kajal Singla, Poonam Narwat, Nilanjan Das and Shilpa S Chapadgaonkar. Gender Bias in Autism Spectrum Disorders-a review, Journal of Clinical and Diagnostic Research, 2018, Vol-12(4): KE01-KE07. M. Kumar, A. Thatai, and S. S. Chapadgaonkar, “Homozygosity and heterozygosity of the pericentric inversion of chromosome 9 and its clinical impact,” J. Clin. Diagnostic Res., vol. 6, no. 5, 2012. S. S. Khaparde, P. K. Roychoudhury, J. Gomes, and A. Mukhopadhyay, “External modulation of HT-1080 human fibrosarcoma cells improves urokinase production,” Biotechnol. Prog., vol. 24, no. 6, 2008, doi: 10.1002/btpr.21. P. K. Roychoudhury, S. S. Khaparde, B. Mattiasson, and A. Kumar, “Synthesis, regulation and production of urokinase using mammalian cell culture: A comprehensive review,” Biotechnol. Adv., vol. 24, no. 5, 2006, doi: 10.1016/j.biotechadv.2006.05.002. S. S. Khaparde and R. S. Singhal, “Chemically modified papain for applications in detergent formulations,” Bioresour. Technol., vol. 78, no. 1, 2001, doi: 10.1016/S0960-8524(00)00178-4. https://shilpachap.wixsite.com/website https://epgp.inflibnet.ac.in/Home/ViewSubject?catid=1+p0z2ZbAGSfsyfLITzgZQ== https://epgp.inflibnet.ac.in/Home/ViewSubject?catid=1+p0z2ZbAGSfsyfLITzgZQ== https://epgp.inflibnet.ac.in/Home/ViewSubject?catid=1+p0z2ZbAGSfsyfLITzgZQ== Books Published Book Chapter:Gurjar G, Mishra M, Kotkar H, Upasani M, Pradeep Kumar, Tamhane V, Kadoo N, Giri A and Gupta V (2011). Book Chapter: Major biotic stresses of chickpea and strategies for their control. Pests and Pathogens: Management Strategies. BS Publications, CRC Press ISBN: 978-0-415-66576-6. Patents Indian patent number 268913 (Application number 1759/DEL/2006), Date of grant 22/09/15 Title of the invention : A novel process for the production of therapeutic proteins and resulting products thereof Roychoudhury P K, Gomes J and Khaparde S S. Teaching Experience 15 Yrs Industry Experience 1 Yrs Research Experience 16 Yrs Linkedin Profile Link https://www.linkedin.com/in/shilpa-chapadgaonkar-54810412/",,,https://www.scopus.com/authid/detail.uri?authorId=14045418300
