ScholarName,SuggestedWebsiteName,SimilarityScore
Dr. Kishor Rambhau Kolhe,Dr. Kishor Rambhau Kolhe,100.0
Dr. Pooja Pravin Gundewar,Dr. Pooja Pravin Gundewar,100.0
Dr. Deepak Kumar,Dr. Deepak Kumar,100.0
Dr. Nitin Namdeo Pise,Dr. Nitin Namdeo Pise,100.0
Dr. Manisha Ravikumar Kowdiki,Dr. Manisha Ravikumar Kowdiki,100.0
Dr. Sumitra Narayan Motade,Dr. Sumitra Narayan Motade,100.0
Dr. Malhari Bhimrao Kulkarni,Dr. Malhari Bhimrao Kulkarni,100.0
Dr. Raghunath Subhanrao Bhadade,Dr. Raghunath Subhanrao Bhadade,100.0
Dr. Anamika Jain,Dr. Anamika Jain,100.0
Dr. Ganesh Bhaurao Choudhari,Dr. Ganesh Bhaurao Choudhari,100.0
Mrs. Rashmi Ashwinikumar Rane,Mrs. Rashmi Ashwinikumar Rane,100.0
Dr. Rajkumar Damodar Komati,Dr. Rajkumar Damodar Komati,100.0
Dr. Vijayapandi Pandy,Dr. Vijayapandi Pandy,100.0
Mrs. Priyamwada Sachindra Mahajani,Mrs. Priyamwada Sachindra Mahajani,100.0
Dr. Vivek Patel,Dr. Vivek Patel,100.0
Dr. Sachin Arun Kulkarni,Dr. Sachin Arun Kulkarni,100.0
Dr. Anagha Yogesh Deshpande,Dr. Anagha Yogesh Deshpande,100.0
Mr. Swapnil Virendra Chalwadi,Mr. Swapnil Virendra Chalwadi,100.0
Mr. Atul Uddhavrao Palange,Mr. Atul Uddhavrao Palange,100.0
Dr. Harshali Digambar Zodpe,Dr. Harshali Digambar Zodpe,100.0
Dr. Shounak Rushikesh Sugave,Dr. Shounak Rushikesh Sugave,100.0
Mrs. Yogita Shivaji Hande,Mrs. Yogita Shivaji Hande,100.0
Dr. Trushita Sandeep Chaware,Dr. Trushita Sandeep Chaware,100.0
Mrs. Manisha Rajendra Kuveskar,Mrs. Manisha Rajendra Kuveskar,100.0
Dr. Vedashree Tushar Mali,Dr. Vedashree Tushar Mali,100.0
Mr. Mangesh Ramesh Saraf,Mr. Mangesh Ramesh Saraf,100.0
Dr. Nathrao Bhimrao Jadhav,Dr. Nathrao Bhimrao Jadhav,100.0
Dr. Amit Vishnu Jomde,Dr. Amit Vishnu Jomde,100.0
Mrs. Jyoti Anirudha Lele,Mrs. Jyoti Anirudha Lele,100.0
Dr. Vandana Aryan Mooss,Dr. Vandana Aryan Mooss,100.0
Mr. Niraj Subhashrao Topare,Mr. Niraj Subhashrao Topare,100.0
Dr. Uma Ramachandra Pujeri,Dr. Uma Ramachandra Pujeri,100.0
Dr. Shreya Bera,Dr. Shreya Bera,100.0
Mr. Gajanan Malleshi Birajdar,Mr. Gajanan Malleshi Birajdar,100.0
Mrs. Vanita Raj Tank,Mrs. Vanita Raj Tank,100.0
Dr. Parshant Kumar,Dr. Parshant Kumar,100.0
Dr. Deobrat Singh,Dr. Deobrat Singh,100.0
Mr. Satyendra Kumar Prasad,Mr. Satyendra Kumar Prasad,100.0
Dr. Rohit Raghunath Ghadge,Dr. Rohit Raghunath Ghadge,100.0
Dr. Rahul Kisan Jagtap,Dr. Rahul Kisan Jagtap,100.0
Dr. Bishnu Prasad Mohapatra,Dr. Bishnu Prasad Mohapatra,100.0
Mr. Sanjay Babanrao Bhagwat,Mr. Sanjay Babanrao Bhagwat,100.0
Dr. Satish Chinchorkar,Dr. Satish Chinchorkar,100.0
Dr. Anjali Ajit Sane,Dr. Anjali Ajit Sane,100.0
Dr. Shankar Maruti Mali,Dr. Shankar Maruti Mali,100.0
Mr. Nitinkumar Raghunath Anekar,Mr. Nitinkumar Raghunath Anekar,100.0
Mr. Chetan Kishor Patil,Mr. Chetan Kishor Patil,100.0
Dr. Ratnadip Rajabhau Joshi,Dr. Ratnadip Rajabhau Joshi,100.0
Dr. Shvetank Bhatt,Dr. Shvetank Bhatt,100.0
Dr. Vibha Utpal Patel,Dr. Vibha Utpal Patel,100.0
Mrs. Sunita Mahesh Kulkarni,Mrs. Sunita Mahesh Kulkarni,100.0
Dr. Chinmay Devidas Deshmukh,Dr. Chinmay Devidas Deshmukh,100.0
Dr. Dhanashree Umesh Tharkude,Dr. Dhanashree Umesh Tharkude,100.0
Dr. Shruti Ravindra Danve,Dr. Shruti Ravindra Danve,100.0
Dr. Yogita Sachin Ozarde,Dr. Yogita Sachin Ozarde,100.0
Mrs. Hemlata Sandip Ohal,Mrs. Hemlata Sandip Ohal,100.0
Dr. Nikhil Mhala,Dr. Nikhil Mhala,100.0
Dr. Hemant Shripad Kulkarni,Dr. Hemant Shripad Kulkarni,100.0
Dr. Summon Kaul,Dr. Summon Kaul,100.0
Dr. Netra Manoj Lokhande,Dr. Netra Manoj Lokhande,100.0
Dr. Sukhada Prasad Bhingarkar,Dr. Sukhada Prasad Bhingarkar,100.0
Dr. Vaidehi Vaibhav Deshmukh,Dr. Vaidehi Vaibhav Deshmukh,100.0
Dr. Ganesh Marotrao Kakandikar,Dr. Ganesh Marotrao Kakandikar,100.0
Dr. Abhishek Madhukar Thote,Dr. Abhishek Madhukar Thote,100.0
Dr. Anand D Kulkarni,Dr. Anand J Kulkarni,90.0
Vijayapandi Pandy,Dr. Vijayapandi Pandy,89.47368421052632
Mamta Suyog Bhamare,Mrs. Mamta Suyog Bhamare,88.37209302325581
Anagha Sudhir Karne,Mrs. Anagha Sudhir Karne,88.37209302325581
Dr. Vinaya Gohokar,Dr. Vinaya Vijay Gohokar,85.71428571428572
Dr. Satish Polshettiwar,Dr. Satish Arunrao Polshettiwar,85.18518518518519
Nidhi Gupta,Dr. Nidhi Gupta,84.61538461538461
Dr Swati C Jagdale,Dr. Swati Changdeo Jagdale,81.81818181818181
Hemant Kulkarni,Dr. Hemant Shripad Kulkarni,71.42857142857143
Sarika Bobde,Mrs. Sarika Sanjay Bobde,66.66666666666667
Abhishek Mukherjee,Dr. Abhishek Bratindranath Mukherjee,66.66666666666667
Manisha Kumawat,Dr. Manisha Chandrashekhar Kumawat,61.224489795918366
